grid_id_latitude,grid_id_longitude,feature_window_start,feature_window_end,hour_of_day,day_of_week,is_weekend,is_holiday,peak_hour_indicator,demand_last_15min,demand_last_30min,demand_last_60min,demand_last_1440min,future_demand_next_15min
3948,4617,2025-10-20 11:30:00,2025-10-20 11:45:00,11,0,0,0,False,0.0,0.0,0.0,0.0,7.0
3948,4617,2025-10-21 08:00:00,2025-10-21 08:15:00,8,1,0,0,True,3.0,0.0,0.0,0.0,11.0
3948,4617,2025-10-21 09:45:00,2025-10-21 10:00:00,9,1,0,0,True,10.0,10.0,0.0,0.0,9.0
3948,4617,2025-10-21 18:00:00,2025-10-21 18:15:00,18,1,0,0,True,21.0,21.0,0.0,0.0,3.0
3948,4617,2025-10-22 00:30:00,2025-10-22 00:45:00,0,2,0,0,False,30.0,30.0,30.0,0.0,8.0
3948,4617,2025-10-22 05:00:00,2025-10-22 05:15:00,5,2,0,0,False,33.0,33.0,33.0,0.0,8.0
3948,4617,2025-10-23 06:00:00,2025-10-23 06:15:00,6,3,0,0,False,41.0,41.0,41.0,0.0,5.0
3948,4617,2025-10-23 11:30:00,2025-10-23 11:45:00,11,3,0,0,False,49.0,49.0,49.0,0.0,7.0
3948,4617,2025-10-24 10:00:00,2025-10-24 10:15:00,10,4,0,0,False,54.0,54.0,54.0,0.0,10.0
3948,4618,2025-10-19 13:45:00,2025-10-19 14:00:00,13,6,1,0,False,0.0,0.0,0.0,0.0,5.0
3948,4618,2025-10-19 22:00:00,2025-10-19 22:15:00,22,6,1,0,False,4.0,0.0,0.0,0.0,4.0
3948,4618,2025-10-20 01:30:00,2025-10-20 01:45:00,1,0,0,0,False,9.0,9.0,0.0,0.0,8.0
3948,4618,2025-10-21 12:00:00,2025-10-21 12:15:00,12,1,0,0,False,13.0,13.0,0.0,0.0,2.0
3948,4618,2025-10-22 03:30:00,2025-10-22 03:45:00,3,2,0,0,False,23.0,23.0,23.0,0.0,6.0
3948,4618,2025-10-23 06:45:00,2025-10-23 07:00:00,6,3,0,0,False,23.0,23.0,23.0,0.0,3.0
3948,4619,2025-10-20 17:30:00,2025-10-20 17:45:00,17,0,0,0,True,2.0,0.0,0.0,0.0,4.0
3948,4619,2025-10-20 22:45:00,2025-10-20 23:00:00,22,0,0,0,False,2.0,2.0,0.0,0.0,7.0
3948,4619,2025-10-21 03:45:00,2025-10-21 04:00:00,3,1,0,0,False,6.0,6.0,0.0,0.0,9.0
3948,4619,2025-10-21 08:45:00,2025-10-21 09:00:00,8,1,0,0,True,13.0,13.0,13.0,0.0,7.0
3948,4619,2025-10-22 18:15:00,2025-10-22 18:30:00,18,2,0,0,True,22.0,22.0,22.0,0.0,1.0
3948,4619,2025-10-23 20:30:00,2025-10-23 20:45:00,20,3,0,0,True,29.0,29.0,29.0,0.0,2.0
3948,4619,2025-10-24 04:45:00,2025-10-24 05:00:00,4,4,0,0,False,30.0,30.0,30.0,0.0,3.0
3948,4619,2025-10-25 15:15:00,2025-10-25 15:30:00,15,5,1,0,False,32.0,32.0,32.0,0.0,5.0
3948,4620,2025-10-19 07:45:00,2025-10-19 08:00:00,7,6,1,0,True,0.0,0.0,0.0,0.0,1.0
3948,4620,2025-10-23 18:45:00,2025-10-23 19:00:00,18,3,0,0,True,9.0,9.0,0.0,0.0,6.0
3948,4620,2025-10-23 19:30:00,2025-10-23 19:45:00,19,3,0,0,True,9.0,9.0,0.0,0.0,7.0
3948,4621,2025-10-19 02:45:00,2025-10-19 03:00:00,2,6,1,0,False,0.0,0.0,0.0,0.0,5.0
3948,4621,2025-10-19 04:45:00,2025-10-19 05:00:00,4,6,1,0,False,4.0,0.0,0.0,0.0,2.0
3948,4621,2025-10-20 20:15:00,2025-10-20 20:30:00,20,0,0,0,True,9.0,9.0,0.0,0.0,2.0
3948,4621,2025-10-21 11:15:00,2025-10-21 11:30:00,11,1,0,0,False,11.0,11.0,0.0,0.0,4.0
3948,4621,2025-10-21 23:45:00,2025-10-22 00:00:00,23,1,0,0,False,13.0,13.0,13.0,0.0,6.0
3948,4622,2025-10-19 10:30:00,2025-10-19 10:45:00,10,6,1,0,False,0.0,0.0,0.0,0.0,5.0
3948,4622,2025-10-19 13:30:00,2025-10-19 13:45:00,13,6,1,0,False,2.0,0.0,0.0,0.0,6.0
3948,4622,2025-10-20 01:00:00,2025-10-20 01:15:00,1,0,0,0,False,7.0,7.0,0.0,0.0,2.0
3948,4622,2025-10-20 02:30:00,2025-10-20 02:45:00,2,0,0,0,False,13.0,13.0,0.0,0.0,1.0
3948,4622,2025-10-20 17:30:00,2025-10-20 17:45:00,17,0,0,0,True,15.0,15.0,15.0,0.0,3.0
3948,4622,2025-10-20 21:30:00,2025-10-20 21:45:00,21,0,0,0,False,16.0,16.0,16.0,0.0,7.0
3948,4622,2025-10-21 17:45:00,2025-10-21 18:00:00,17,1,0,0,True,19.0,19.0,19.0,0.0,9.0
3948,4622,2025-10-22 03:45:00,2025-10-22 04:00:00,3,2,0,0,False,26.0,26.0,26.0,0.0,15.0
3948,4622,2025-10-23 07:15:00,2025-10-23 07:30:00,7,3,0,0,True,35.0,35.0,35.0,0.0,5.0
3948,4622,2025-10-23 22:00:00,2025-10-23 22:15:00,22,3,0,0,False,50.0,50.0,50.0,0.0,4.0
3948,4623,2025-10-20 05:30:00,2025-10-20 05:45:00,5,0,0,0,False,0.0,0.0,0.0,0.0,7.0
3948,4623,2025-10-21 02:00:00,2025-10-21 02:15:00,2,1,0,0,False,11.0,0.0,0.0,0.0,7.0
3948,4623,2025-10-21 05:15:00,2025-10-21 05:30:00,5,1,0,0,False,18.0,18.0,0.0,0.0,10.0
3948,4623,2025-10-21 20:45:00,2025-10-21 21:00:00,20,1,0,0,True,25.0,25.0,0.0,0.0,13.0
3948,4624,2025-10-20 06:15:00,2025-10-20 06:30:00,6,0,0,0,False,0.0,0.0,0.0,0.0,5.0
3948,4624,2025-10-20 10:30:00,2025-10-20 10:45:00,10,0,0,0,False,12.0,0.0,0.0,0.0,1.0
3948,4624,2025-10-20 13:45:00,2025-10-20 14:00:00,13,0,0,0,False,17.0,17.0,0.0,0.0,7.0
3948,4624,2025-10-21 13:00:00,2025-10-21 13:15:00,13,1,0,0,False,18.0,18.0,0.0,0.0,1.0
3948,4624,2025-10-21 21:15:00,2025-10-21 21:30:00,21,1,0,0,False,25.0,25.0,25.0,0.0,4.0
3948,4624,2025-10-21 21:30:00,2025-10-21 21:45:00,21,1,0,0,False,26.0,26.0,26.0,0.0,5.0
